,loss,accuracy,val_loss,val_accuracy
0,0.5007684230804443,0.8494135141372681,0.18394075334072113,0.9490740895271301
1,0.46075206995010376,0.864662766456604,0.24575313925743103,0.9254115223884583
2,0.4935920834541321,0.8548387289047241,0.21854674816131592,0.9320987462997437
3,0.4640067517757416,0.8595308065414429,0.4032434821128845,0.9310699701309204
4,0.4767536520957947,0.8530791997909546,0.5286605358123779,0.9094650149345398
5,0.4433734118938446,0.8673020601272583,0.1576796919107437,0.9495884776115417
6,0.4786677360534668,0.8564516305923462,0.2277301549911499,0.9346708059310913
7,0.47444963455200195,0.8585044145584106,0.16400904953479767,0.9480452537536621
8,0.4704930782318115,0.8626099824905396,0.29350635409355164,0.904321014881134
9,0.4770735204219818,0.8587976694107056,0.21708588302135468,0.931584358215332
10,0.4357363283634186,0.8673020601272583,0.1850041002035141,0.9439300298690796
